comments,likes,Target
thoooooo godi media thoooooo godi media thoooooo godi media thoooooo godi media,0,Akhilesh
godi midiya godi midiya,0,Akhilesh
godi media chup,0,Akhilesh
ghatiya news riporter,0,Akhilesh
गई गोदी मिडिया,0,Akhilesh
trp लेने गई,0,Akhilesh
godi midiya,0,Akhilesh
जय हिंद जय श्री राम भारत माता जय जय मोदी जय योगी अखिलेश हार मान चुके क्योंकि आपने परदेस जीतने काम विकास सिर्फ सिर्फ गुंडागर्दी अलावा पार्टी जगहों गरीबों सताया दंगे फसाद करवा वजह आपको प्रदेश जनता नकार जय हिंद जय श्री राम,4,Akhilesh
इंटरव्यू पैसे निकले,0,Akhilesh
paisa mila bakwas,0,Akhilesh
दलाली खाते यार तुम लोग,0,Akhilesh
माननीय पूर्व मुख्यमंत्री ईमानदार तिलमिला क्यूं गई अंजना जीकभी बीजेपी वालों तीखे प्रश्न क्यूं करतीबल्कि बीजेपी तरफ लोग खुद व्यक्तव देते रहते हद्द चमचा गिरी की।औरत respect,0,Akhilesh
godi media,0,Akhilesh
godi media,0,Akhilesh
godi media,0,Akhilesh
godi media,0,Akhilesh
godi media,0,Akhilesh
godi media,0,Akhilesh
godi media,0,Akhilesh
godi media,0,Akhilesh
godi media,0,Akhilesh
media jal,0,Akhilesh
chup bolna sach sach warna chainal,0,Akhilesh
shame godi media,0,Akhilesh
तू बौखला गई,1,Akhilesh
पैसा मिल,0,Akhilesh
बाबा,0,Akhilesh
गोदी मीडिया,0,Akhilesh
गोदी मीडिया,0,Akhilesh
गोदी मीडिया,0,Akhilesh
tumse modi bitiya,0,Akhilesh
हमें पता तुम मोदी चमचे नया गोदी मीडिया,0,Akhilesh
band ker bakwas,0,Akhilesh
godi,0,Akhilesh
bjp neta patrakar,0,Akhilesh
moorkh channel,0,Akhilesh
chup,0,Akhilesh
चल झूठी,0,Akhilesh
bakwas,0,Akhilesh
अबे तू बिक गई,0,Akhilesh
तुम हर आओगे,0,Akhilesh
मौसी करवा ली बेज़ती,0,Akhilesh
fake,0,Akhilesh
होश रहकर बोलो वरना j बचा पाएगी चुनाव,1,Akhilesh
बिकी तुम तेरा चैनल,0,Akhilesh
तुम सब मोदी फेके टुकड़े पालते हो।।,0,Akhilesh
रिपोर्ट spam,0,Akhilesh
बकवाश बोल तुम,0,Akhilesh
channel chalana band madam nishpach kaam kariye reporter,0,Akhilesh
nikal,0,Akhilesh
dislikes dikha,0,Akhilesh
dislikes dikha,0,Akhilesh
dislikes dikha,0,Akhilesh
youuuui,0,Akhilesh
akhilesh yadav jindabad,3,Akhilesh
dalal patrakaro salo   vidhayak sp bjp samjhi bevkoof,1,Akhilesh
स्टोरी मेरी तरफ स्टाइल मेंप्यासा कव्वाएक कव्वा प्यासा उसका हलक सूख जिससे उसको ज़ोरो प्यास लगी काला कव्वा प्यासा वो पानी ढूंढ क्यों उसको प्यास लगी वो काला उसका हलक सूख तभी उसको पानी पीना उसको प्यास लगी गला सूखता प्यास लगती गला सूखता मतलब प्यास ज़ोरो लगी,0,Akhilesh
jay hindbharat maata jayjay shree ram,1,Akhilesh
chutia channel,0,Akhilesh
hatt bjp pagal godi media htt,4,Akhilesh
jai shri ram jai shri ram jai yogi,0,Akhilesh
faltu news channel,0,Akhilesh
ye anjana bandh kitna dalali karoge bjp,0,Akhilesh
चल झूठी,1,Akhilesh
लग सही अखिलेश ।किसान एकता जिंदाबाद,524,Akhilesh
हार डर साहब खो आपाऔर विपक्षी पड़वा छापा,538,Akhilesh
impressed tackled questions answered sensibly,208,Akhilesh
सब नेता बिल मेंअखिलेश भैया युवाओं दिल,20,Akhilesh
राजीव रंजन सटीक विश्लेषण जिससे पत्रकारिता नई दिशा देने कार्य हैं।सादर प्रणाम।,225,Akhilesh
पत्रकार इतनी हैसियत बीजेपी मंत्रियों सवाल ले अखिलेश भईया प्रणाम बाबकी जवाब देने,206,Akhilesh
शिक्षित नेता,436,Akhilesh
राजीव रंजन आपकी निष्पक्ष पत्रकारिता शतशत प्रणाम आने वर्ष निष्पक्ष खबरें दिखाते रहें पूरे देश विदेशों छा जाएं आपकी पत्रकारिता देखकर आनंद मिलता,323,Akhilesh
reporting current times,318,Akhilesh
धर्म हजारो साल था हजारो साल चलेगासरकार पाँच सालो है।वाह जय अखिलेश जय समाजवाद,19,Akhilesh
confident anchorby best,132,Akhilesh
जय अखिलेश जय समाजवाद,19,Akhilesh
माननीय श्री अखिलेश यादव बहुतबहुत मतों जीतेंगे सब विरोधी देखते रह जाएंगे जय जय अखिलेश यादव जय समाजवादी पार्टी जय जय हिंद बोलो,231,Akhilesh
किसान एकता जिंदाबाद,60,Akhilesh
congratulation news   rajev ranjan sir great anchor thank sir,270,Akhilesh
akhilesh yadav jindabad samajvadi party jindabad,6,Akhilesh
reporter salute love working hindu muslim sikh esai bhaichare,52,Akhilesh
ईश्वर बुद्धि देते देश गद्दारी,16,Akhilesh
भाग्य बेजेपी दे हैजय समाजवादी सरकार ईस्वर बार है,207,Akhilesh
beautiful questionsand beautifully repliedthank sir everybody,20,Akhilesh
अकेला हमारा नेता सभी गढ़ो भारी,522,Akhilesh
legend,32,Akhilesh
happy year sir,55,Akhilesh
तय   अखिलेश उत्तर प्रदेश मुख्यमंत्री बनने,15,Akhilesh
absolutely brilliant introduction,3,Akhilesh
समाजवादी पार्टी जिन्दाबाद अखिलेश यादव जिन्दाबाद पूरी एकता जिन्दाबाद अखिलेश यादव जिन्दाबाद,4,Akhilesh
पत्रकार राजीव रंजन माहौल देख सीखने मौका मिलता,90,Akhilesh
love reporting skills,14,Akhilesh
happy year advance youtube family,45,Akhilesh
young cm mr akhilesh young students,5,Akhilesh
let pray children parents real legend,61,Akhilesh
सरकारों जनता दमन शोषण हिम्मत तभी वो मानने लगे चुनाव मतदाताओं पैसे प्रलोभन देकर चुनाव जीत जायेंगे इसलिए राजनीतिक पार्टियां कारपोरेट पैसे लेकर चुनाव खर्च लगे चुनाव जीतने सरकारें सिर्फ सिर्फ कारपोरेट हिसाब काम करतीं हैं जनता मांगों लेकर सरकारों सामने मिन्नते रहता सरकारें सुनती क्योंकि चुनाव पैसे देकर जीते आगे ज्यादा पैसे खर्च लेगें,7,Akhilesh
प्रदेश जनता बदलाव चाहती,215,Akhilesh
sp final,45,Akhilesh
akhilesh nervous journalist sahab standing,9,Akhilesh
akhilesh yadav jindabad,5,Akhilesh
akhilesh yadav answering question sensibly point,14,Akhilesh
education makes different uneducated pm,5,Akhilesh
अखिलेश बिगाड़   अखिलेश सरकार बना रहेंगे,366,Akhilesh
cm yogi aditya nath,6,Akhilesh
सामान्य नागरिक समझ जाएगा समाजवादी पार्टी सरकार पुराने नोटों प्रचलन था। आज सरकार भाजपा है।उस व्यक्ति   करोड़ नए नोट बरामद बिना सत्ता संरक्षण तथा अधिकारियों मिलीभगत बिना कैसे संभव पाया।,195,Akhilesh
yogi cm uttar pradesh anymore chachabhatija mulla mulayams ultra secular party uttar pradesh mahadev,5,Akhilesh
जयंत जी अखिलेश बार हमारा वोट आपको।,15,Akhilesh
jai akhilesh jai sp,3,Akhilesh
अखिलेश यादव जीत डर संता बीजेपी बोहखलाट,214,Akhilesh
akhilesh yadav jindabaad    jeet,6,Akhilesh
jai shree ram,7,Akhilesh
भाजपा करे अखिलेश रथ रोक पाएंगे।,329,Akhilesh
jai samajwadi party jai akhilesh yadav,1,Akhilesh
अखिलेश यादव इंटरव्यू आते   मिलियन व्यू।।।दमदार समाजवाद,12,Akhilesh
